cell_id,num_models,num_mix,do_newton,do_reject,seed,max_iter
single_K1_newton_no-reject,1,1,1,0,42,200
single_K1_newton_reject,1,1,1,1,42,200
single_K1_natgrad_no-reject,1,1,0,0,42,200
single_K1_natgrad_reject,1,1,0,1,42,200
single_K3_newton_no-reject,1,3,1,0,42,200
single_K3_newton_reject,1,3,1,1,42,200
single_K3_natgrad_no-reject,1,3,0,0,42,200
single_K3_natgrad_reject,1,3,0,1,42,200
single_K5_newton_no-reject,1,5,1,0,42,200
single_K5_newton_reject,1,5,1,1,42,200
single_K5_natgrad_no-reject,1,5,0,0,42,200
single_K5_natgrad_reject,1,5,0,1,42,200
multi_M2_K3_newton_seed0,2,3,1,0,0,300
multi_M2_K3_newton_seed1,2,3,1,0,1,300
multi_M2_K3_newton_seed2,2,3,1,0,2,300
multi_M3_K3_newton_seed0,3,3,1,0,0,300
multi_M3_K3_newton_seed1,3,3,1,0,1,300
multi_M3_K3_newton_seed2,3,3,1,0,2,300
