 minimum eigenvalues =    1.1910533667780117E-020   7.1900649239738012E-008   9.5622536276072277E-008
 maximum eigenvalues =    4.4737597733883466E-004   1.9310103854797126E-004   1.3364747271233187E-004
 num eigs kept =           60
 iter     1 lrate =  0.0100000000 LL =   4.3138376251 nd =  0.0884894714, D =   0.14232E-01  0.14232E-01  (  4.23 s,   0.0 h)
 iter     2 lrate =  0.0100000000 LL =   5.4061663685 nd =  0.1701966253, D =   0.14022E-01  0.14022E-01  (  4.67 s,   0.0 h)
 iter     3 lrate =  0.0100000000 LL =   6.1158923018 nd =  0.3943745204, D =   0.19249E-01  0.19249E-01  (  4.56 s,   0.0 h)
 iter     4 lrate =  0.0100000000 LL =   6.4288978990 nd =  0.8814021086, D =   0.74627E-01  0.74627E-01  (  4.57 s,   0.0 h)
 iter     5 lrate =  0.0100000000 LL =   6.3909295724 nd =  1.2651718717, D =   0.22883E+00  0.22883E+00  (  4.57 s,   0.0 h)
 iter     6 lrate =  0.0100000000 LL =   6.2488159897 nd =  1.1111345418, D =   0.50662E+00  0.50662E+00  (  4.57 s,   0.0 h)
 iter     7 lrate =  0.0100000000 LL =   6.3481156923 nd =  1.0417433703, D =   0.68178E+00  0.68178E+00  (  4.54 s,   0.0 h)
 iter     8 lrate =  0.0100000000 LL =   6.3814928591 nd =  1.2686492359, D =   0.83388E+00  0.83388E+00  (  4.57 s,   0.0 h)
 iter     9 lrate =  0.0100000000 LL =   6.4767000802 nd =  1.3987140407, D =   0.10771E+01  0.10771E+01  (  4.58 s,   0.0 h)
 iter    10 lrate =  0.0100000000 LL =   6.4646619323 nd =  1.5672254483, D =   0.13381E+01  0.13381E+01  (  4.56 s,   0.0 h)
 iter    11 lrate =  0.0050000000 LL =   6.8292132025 nd =  1.1449067464, D =   0.14398E+01  0.14398E+01  (  4.57 s,   0.0 h)
 iter    12 lrate =  0.0050000000 LL =   6.9088222350 nd =  1.9684014357, D =   0.15847E+01  0.15847E+01  (  4.54 s,   0.0 h)
 iter    13 lrate =  0.0050000000 LL =   6.5473363000 nd =  2.1955105423, D =   0.17851E+01  0.17851E+01  (  4.54 s,   0.0 h)
 iter    14 lrate =  0.0050000000 LL =   6.7246393263 nd =  1.8757720630, D =   0.19724E+01  0.19724E+01  (  4.54 s,   0.0 h)
 iter    15 lrate =  0.0050000000 LL =   6.7802357865 nd =  2.0194459576, D =   0.21132E+01  0.21132E+01  (  4.54 s,   0.0 h)
 iter    16 lrate =  0.0050000000 LL =   6.7529965914 nd =  2.2235604147, D =   0.22512E+01  0.22512E+01  (  4.55 s,   0.0 h)
 iter    17 lrate =  0.0050000000 LL =   6.6986757446 nd =  2.4997300657, D =   0.24261E+01  0.24261E+01  (  4.56 s,   0.0 h)
 iter    18 lrate =  0.0025000000 LL =   7.0016100105 nd =  1.6295125911, D =   0.24515E+01  0.24515E+01  (  4.59 s,   0.0 h)
 iter    19 lrate =  0.0025000000 LL =   7.1687013084 nd =  2.5137052216, D =   0.24920E+01  0.24920E+01  (  4.58 s,   0.0 h)
 iter    20 lrate =  0.0025000000 LL =   6.9170702512 nd =  3.0420421690, D =   0.25825E+01  0.25825E+01  (  4.56 s,   0.0 h)
... done. Execution time:   0.03 h 
output directory = /home/sesma/amica-python/validation/results/post_f1_audit/fortran_output
