subject,n_seeds,mir_mean,mir_sd,mir_min,mir_max,mir_seed0,mir_seed1,mir_seed2,mir_seed3,mir_seed4
sub-01,5,4.06501,0.00095,4.06441,4.06668,4.06668,4.06459,4.06451,4.06441,4.06484
sub-02,5,5.74166,0.00014,5.74147,5.74177,5.74147,5.74157,5.74176,5.74175,5.74177
sub-03,5,4.84603,0.00016,4.84584,4.84624,4.84613,4.84624,4.84596,4.84598,4.84584
sub-04,5,4.32661,0.00028,4.32629,4.32698,4.32638,4.32629,4.32669,4.32673,4.32698
sub-05,5,6.85048,0.00223,6.84777,6.85367,6.85144,6.85367,6.85022,6.84929,6.84777
sub-06,5,3.82426,0.00019,3.82397,3.82445,3.82440,3.82397,3.82419,3.82428,3.82445
sub-07,5,3.49726,0.00017,3.49702,3.49744,3.49728,3.49702,3.49716,3.49739,3.49744
sub-08,5,2.59288,0.00025,2.59256,2.59313,2.59312,2.59292,2.59256,2.59270,2.59313
sub-09,5,4.99242,0.00036,4.99210,4.99301,4.99218,4.99238,4.99210,4.99244,4.99301
sub-10,5,6.17330,0.00033,6.17278,6.17359,6.17359,6.17354,6.17342,6.17317,6.17278
sub-11,5,2.95190,0.00034,2.95148,2.95230,2.95148,2.95218,2.95230,2.95180,2.95176
sub-12,5,5.11476,0.00107,5.11320,5.11565,5.11412,5.11565,5.11521,5.11563,5.11320
sub-13,5,3.45756,0.00028,3.45725,3.45799,3.45725,3.45739,3.45799,3.45758,3.45759
sub-14,5,2.01415,0.00015,2.01392,2.01431,2.01431,2.01422,2.01410,2.01392,2.01419
sub-15,5,5.60820,0.00026,5.60791,5.60851,5.60832,5.60832,5.60793,5.60791,5.60851
sub-16,5,5.97234,0.00032,5.97202,5.97276,5.97276,5.97260,5.97207,5.97227,5.97202
sub-17,5,4.40443,0.00038,4.40392,4.40498,4.40498,4.40392,4.40452,4.40431,4.40441
sub-18,5,5.42208,0.00091,5.42061,5.42288,5.42188,5.42061,5.42266,5.42237,5.42288
sub-19,5,5.14606,0.00023,5.14589,5.14643,5.14589,5.14594,5.14643,5.14592,5.14614
sub-20,5,5.90241,0.00168,5.89947,5.90372,5.90306,5.90372,5.90287,5.89947,5.90292
sub-21,5,4.56174,0.00013,4.56156,4.56190,4.56175,4.56156,4.56179,4.56190,4.56170
sub-22,5,5.00437,0.00053,5.00378,5.00522,5.00440,5.00430,5.00415,5.00378,5.00522
sub-23,5,5.82882,0.00014,5.82864,5.82900,5.82900,5.82887,5.82864,5.82885,5.82874
sub-24,5,5.96758,0.00007,5.96751,5.96768,5.96751,5.96761,5.96768,5.96753,5.96758
sub-25,5,3.71807,0.00107,3.71693,3.71956,3.71799,3.71693,3.71864,3.71956,3.71723
