 minimum eigenvalues =   -1.2330348555383841E-007   71889.488818632090        95464.404216036477     
 maximum eigenvalues =    447525089.89036089        193199717.73536611        133678495.32096455     
 num eigs kept =           60
 iter     1 lrate =  0.0100000000 LL =  -9.4968002120 nd =  0.0884624521, D =   0.15030E-01  0.15030E-01  (  3.55 s,   0.5 h)
 iter     2 lrate =  0.0100000000 LL =  -8.3871865477 nd =  0.1622716919, D =   0.14819E-01  0.14819E-01  (  3.52 s,   0.5 h)
 iter     3 lrate =  0.0100000000 LL =  -7.6884737679 nd =  0.3954192084, D =   0.18918E-01  0.18918E-01  (  3.52 s,   0.5 h)
 iter     4 lrate =  0.0100000000 LL =  -7.3870697725 nd =  0.8655343477, D =   0.72989E-01  0.72989E-01  (  3.52 s,   0.5 h)
 iter     5 lrate =  0.0100000000 LL =  -7.4503326977 nd =  1.0992186051, D =   0.21760E+00  0.21760E+00  (  3.52 s,   0.5 h)
 iter     6 lrate =  0.0100000000 LL =  -7.4586379772 nd =  1.2523758240, D =   0.43902E+00  0.43902E+00  (  3.52 s,   0.5 h)
 iter     7 lrate =  0.0100000000 LL =  -7.4468878538 nd =  1.2466897627, D =   0.67420E+00  0.67420E+00  (  3.52 s,   0.5 h)
 iter     8 lrate =  0.0100000000 LL =  -7.4561908680 nd =  1.3306985944, D =   0.90895E+00  0.90895E+00  (  3.54 s,   0.5 h)
 iter     9 lrate =  0.0050000000 LL =  -7.2171861865 nd =  1.3269908543, D =   0.95208E+00  0.95208E+00  (  3.52 s,   0.5 h)
 iter    10 lrate =  0.0050000000 LL =  -7.1830690502 nd =  1.7045263682, D =   0.10535E+01  0.10535E+01  (  3.52 s,   0.5 h)
 iter    11 lrate =  0.0050000000 LL =  -7.1881776599 nd =  1.8509315787, D =   0.11993E+01  0.11993E+01  (  3.53 s,   0.5 h)
 iter    12 lrate =  0.0050000000 LL =  -7.1434299149 nd =  1.8184928342, D =   0.13427E+01  0.13427E+01  (  3.53 s,   0.5 h)
 iter    13 lrate =  0.0050000000 LL =  -7.0686212366 nd =  1.9391440032, D =   0.15016E+01  0.15016E+01  (  3.53 s,   0.5 h)
 iter    14 lrate =  0.0050000000 LL =  -7.0498304738 nd =  2.2020262892, D =   0.16858E+01  0.16858E+01  (  3.54 s,   0.5 h)
 iter    15 lrate =  0.0050000000 LL =  -7.0809540418 nd =  2.4441321243, D =   0.19116E+01  0.19116E+01  (  3.53 s,   0.5 h)
 iter    16 lrate =  0.0050000000 LL =  -7.0530483057 nd =  2.7311791384, D =   0.21492E+01  0.21492E+01  (  3.56 s,   0.5 h)
 iter    17 lrate =  0.0050000000 LL =  -7.1025198720 nd =  2.8736555213, D =   0.24565E+01  0.24565E+01  (  3.53 s,   0.5 h)
 iter    18 lrate =  0.0025000000 LL =  -6.7835807666 nd =  1.7365370806, D =   0.24996E+01  0.24996E+01  (  3.53 s,   0.5 h)
 iter    19 lrate =  0.0025000000 LL =  -6.6929161484 nd =  2.8236307475, D =   0.25539E+01  0.25539E+01  (  3.54 s,   0.5 h)
 iter    20 lrate =  0.0025000000 LL =  -6.9961139548 nd =  3.0550845305, D =   0.26467E+01  0.26467E+01  (  3.54 s,   0.5 h)
 iter    21 lrate =  0.0025000000 LL =  -6.9705669726 nd =  2.4247093703, D =   0.27137E+01  0.27137E+01  (  3.54 s,   0.5 h)
 iter    22 lrate =  0.0025000000 LL =  -6.7980357535 nd =  2.4349515605, D =   0.27444E+01  0.27444E+01  (  3.54 s,   0.5 h)
 iter    23 lrate =  0.0025000000 LL =  -6.8514748032 nd =  2.8255826480, D =   0.27995E+01  0.27995E+01  (  3.55 s,   0.5 h)
 iter    24 lrate =  0.0025000000 LL =  -6.8219453860 nd =  2.8135651328, D =   0.28549E+01  0.28549E+01  (  3.55 s,   0.5 h)
 iter    25 lrate =  0.0025000000 LL =  -6.8264295112 nd =  2.7354475645, D =   0.29129E+01  0.29129E+01  (  3.54 s,   0.5 h)
 iter    26 lrate =  0.0012500000 LL =  -6.4910018358 nd =  2.2238855791, D =   0.29188E+01  0.29188E+01  (  3.54 s,   0.5 h)
 iter    27 lrate =  0.0012500000 LL =  -6.5039773561 nd =  3.1858516931, D =   0.29530E+01  0.29530E+01  (  3.54 s,   0.5 h)
 iter    28 lrate =  0.0012500000 LL =  -6.6451063552 nd =  3.5532412114, D =   0.29747E+01  0.29747E+01  (  3.54 s,   0.5 h)
 iter    29 lrate =  0.0012500000 LL =  -6.5851301738 nd =  3.1449127623, D =   0.30088E+01  0.30088E+01  (  3.54 s,   0.5 h)
 iter    30 lrate =  0.0012500000 LL =  -6.5885118356 nd =  3.6014830396, D =   0.30242E+01  0.30242E+01  (  3.56 s,   0.5 h)
 iter    31 lrate =  0.0006250000 LL =  -6.2754316340 nd =  2.6862321835, D =   0.30316E+01  0.30316E+01  (  3.54 s,   0.5 h)
 iter    32 lrate =  0.0006250000 LL =  -6.2457485972 nd =  3.9372480647, D =   0.30445E+01  0.30445E+01  (  3.54 s,   0.5 h)
 iter    33 lrate =  0.0006250000 LL =  -6.3857007806 nd =  4.6014549617, D =   0.30649E+01  0.30649E+01  (  3.55 s,   0.5 h)
 iter    34 lrate =  0.0006250000 LL =  -6.4288339125 nd =  4.6224102060, D =   0.30765E+01  0.30765E+01  (  3.55 s,   0.5 h)
 iter    35 lrate =  0.0006250000 LL =  -6.3691765120 nd =  4.8215002550, D =   0.30912E+01  0.30912E+01  (  3.55 s,   0.5 h)
 iter    36 lrate =  0.0006250000 LL =  -6.3650847119 nd =  4.9671399914, D =   0.31061E+01  0.31061E+01  (  3.55 s,   0.5 h)
 iter    37 lrate =  0.0006250000 LL =  -6.3898946381 nd =  4.9640814243, D =   0.31232E+01  0.31232E+01  (  3.54 s,   0.5 h)
 iter    38 lrate =  0.0003125000 LL =  -6.1108736648 nd =  2.4982407052, D =   0.31274E+01  0.31274E+01  (  3.50 s,   0.4 h)
 iter    39 lrate =  0.0003125000 LL =  -6.0605152900 nd =  3.4270078802, D =   0.31353E+01  0.31353E+01  (  3.51 s,   0.4 h)
 iter    40 lrate =  0.0003125000 LL =  -6.1098762166 nd =  4.2718106843, D =   0.31449E+01  0.31449E+01  (  3.52 s,   0.4 h)
 iter    41 lrate =  0.0003125000 LL =  -6.1440181097 nd =  5.2126455493, D =   0.31536E+01  0.31536E+01  (  3.51 s,   0.4 h)
 iter    42 lrate =  0.0003125000 LL =  -6.2169303697 nd =  5.7027631532, D =   0.31626E+01  0.31626E+01  (  3.51 s,   0.4 h)
 iter    43 lrate =  0.0001562500 LL =  -6.0040216657 nd =  1.7019700135, D =   0.31645E+01  0.31645E+01  (  3.51 s,   0.4 h)
 iter    44 lrate =  0.0001562500 LL =  -5.9692781660 nd =  1.7307018371, D =   0.31687E+01  0.31687E+01  (  3.52 s,   0.4 h)
 iter    45 lrate =  0.0001562500 LL =  -5.9696744458 nd =  2.3097634359, D =   0.31740E+01  0.31740E+01  (  3.51 s,   0.4 h)
 iter    46 lrate =  0.0001562500 LL =  -5.9738542780 nd =  2.9053285263, D =   0.31784E+01  0.31784E+01  (  3.50 s,   0.4 h)
 iter    47 lrate =  0.0001562500 LL =  -5.9787505906 nd =  3.4463023134, D =   0.31840E+01  0.31840E+01  (  3.51 s,   0.4 h)
 iter    48 lrate =  0.0000781250 LL =  -5.9525930957 nd =  0.7477224563, D =   0.31859E+01  0.31859E+01  (  3.51 s,   0.4 h)
 iter    49 lrate =  0.0000781250 LL =  -5.9508338438 nd =  0.5809832343, D =   0.31885E+01  0.31885E+01  (  3.51 s,   0.4 h)
 iter    50 lrate =  0.0000781250 LL =  -5.9494951352 nd =  0.0162402072, D =   0.31909E+01  0.31909E+01  (  3.66 s,   0.5 h)
 iter    51 lrate =  0.0001562500 LL =  -5.9492442087 nd =  0.0165345996, D =   0.31909E+01  0.31909E+01  (  3.69 s,   0.5 h)
 iter    52 lrate =  0.0003125000 LL =  -5.9490638321 nd =  0.0167611773, D =   0.31909E+01  0.31909E+01  (  3.68 s,   0.5 h)
 iter    53 lrate =  0.0006250000 LL =  -5.9489297322 nd =  0.0169265011, D =   0.31909E+01  0.31909E+01  (  3.68 s,   0.5 h)
 iter    54 lrate =  0.0012500000 LL =  -5.9488209465 nd =  0.0170428927, D =   0.31909E+01  0.31909E+01  (  3.68 s,   0.5 h)
 iter    55 lrate =  0.0025000000 LL =  -5.9487159640 nd =  0.0171208355, D =   0.31909E+01  0.31909E+01  (  3.67 s,   0.5 h)
 iter    56 lrate =  0.0050000000 LL =  -5.9485910400 nd =  0.0171651123, D =   0.31910E+01  0.31910E+01  (  3.68 s,   0.5 h)
 iter    57 lrate =  0.0100000000 LL =  -5.9483964008 nd =  0.0171720502, D =   0.31910E+01  0.31910E+01  (  3.68 s,   0.5 h)
 iter    58 lrate =  0.0200000000 LL =  -5.9480474832 nd =  0.0171259952, D =   0.31911E+01  0.31911E+01  (  3.68 s,   0.5 h)
 iter    59 lrate =  0.0400000000 LL =  -5.9473837014 nd =  0.0169895430, D =   0.31913E+01  0.31913E+01  (  3.68 s,   0.5 h)
 iter    60 lrate =  0.0800000000 LL =  -5.9460987365 nd =  0.0166827134, D =   0.31916E+01  0.31916E+01  (  3.67 s,   0.4 h)
