implementation,device,peak_rss_gb,delta_rss_gb,peak_vram_gb,fit_time_s,n_iter
amica_python_jax,cpu,11.32,8.89,,291.2,100
amica_python_jax_chunked,cpu,6.63,4.20,,276.7,100
scott_huberty_torch,cpu,5.65,3.22,,301.9,100
pamica_torch,cpu,2.43,0.00,,348.9,100
pyamica_torch,cpu,2.46,0.03,,652.3,100
fortran_amica17,cpu,1.53,1.53,,595.1,100
amica_python_jax_chunked,gpu,2.43,,3.059,39.9,100
scott_huberty_torch,gpu,2.43,,4.747,10.8,100
pamica_torch,gpu,1.63,,0.415,195.1,100
pyamica_torch,gpu,2.43,,19.899,21.5,100
