dataset,subject,model_order,surrogate,surrogate_seed,selected_fit_seed,n_fit_seeds_available,cmir_kbits_per_sec,delta_cmir_kbits_per_sec,delta_ll_nats_per_component_sample,cmir_50bins_kbits_per_sec,cmir_200bins_kbits_per_sec,cmir_hard_kbits_per_sec,cmir_time_permuted_kbits_per_sec,minimum_effective_n,minimum_posterior_mass,low_occupancy_flag,ll_final,n_iter,converged,npz_path,json_path
ds004504,37,1,phase,100037,0,1,0.0015903466812762783,0.0,0.0,0.0015463352075921204,0.0015883204472548211,0.0015903466812762783,0.0015903466812762783,150000.0,150000.0,False,-1.4184963187081372,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M01_fitseed0_phase100037.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M01_fitseed0_phase100037.json
ds004504,37,1,none,0,0,1,0.48552224426858015,0.0,0.0,0.45514386656970995,0.4931684772253516,0.48552224426858015,0.48552224426858015,150000.0,150000.0,False,-1.2313336616828778,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M01_fitseed0_real.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M01_fitseed0_real.json
ds004504,37,10,phase,100037,0,1,0.1702307261375013,0.168640379456225,0.0064202750353477,0.16915774327494262,0.1698976944790567,0.29250303651427295,-0.12583591923579643,28278.425289479022,9775.50361517915,False,-1.4120760436727895,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M10_fitseed0_phase100037.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M10_fitseed0_phase100037.json
ds004504,37,10,none,0,0,1,0.665045322664537,0.17952307839595683,0.018170897551343046,0.6591242778002109,0.6660359587684175,0.7528270161249772,0.19532367487590477,149.1119767857178,148.94885829476428,True,-1.2131627641315348,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M10_fitseed0_real.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004504_sub-37_M10_fitseed0_real.json
ds004505,1,1,phase,100001,0,1,0.00035014613656346715,0.0,0.0,1.9794316997156915e-05,0.0002693432384034299,0.00035014613656346715,0.00035014613656346715,150000.0,150000.0,False,-1.4188486019311681,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M01_fitseed0_phase100001.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M01_fitseed0_phase100001.json
ds004505,1,1,none,0,0,1,0.30822637041404904,0.0,0.0,0.3029356206312607,0.31155981763111645,0.30822637041404904,0.30822637041404904,150000.0,150000.0,False,-1.324032312919267,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M01_fitseed0_real.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M01_fitseed0_real.json
ds004505,1,10,phase,100001,0,1,0.07954516986790808,0.07919502373134461,0.001716052520868594,0.07744909271121601,0.0801674246987334,0.21223297685925743,-0.04783866643344753,43974.097953888304,9270.949146109002,False,-1.4171325494102995,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M10_fitseed0_phase100001.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M10_fitseed0_phase100001.json
ds004505,1,10,none,0,0,1,0.5335605853320868,0.2253342149180378,0.029405473952213157,0.5313927905386319,0.5346012165540762,0.5966420864097493,-0.03158666201404839,6496.253930265805,3521.6974992209553,False,-1.2946268389670539,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M10_fitseed0_real.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004505_sub-01_M10_fitseed0_real.json
ds004621,1,1,phase,100001,0,1,0.0004015642422976046,0.0,0.0,0.00039457946111216727,0.0006874834459981844,0.0004015642422976046,0.0004015642422976046,150000.0,150000.0,False,-1.41882542487648,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004621_sub-01_M01_fitseed0_phase100001.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004621_sub-01_M01_fitseed0_phase100001.json
ds004621,1,1,none,0,0,1,0.3332940730972489,0.0,0.0,0.3292117393155032,0.3349364394557368,0.3332940730972489,0.3332940730972489,150000.0,150000.0,False,-1.2638947878416646,2000,False,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004621_sub-01_M01_fitseed0_real.npz,D:\amica-validation-workspace\repos\amica-python-benchmark\results\multimodel_cmir\smoke_job_49020640\mmc_ds004621_sub-01_M01_fitseed0_real.json
