dataset,subject,num_models,fit_seed,surrogate,surrogate_seed
ds004505,1,1,0,none,0
ds004505,1,1,0,phase,100001
ds004505,1,1,1,none,0
ds004505,1,1,1,phase,100001
ds004505,1,1,2,none,0
ds004505,1,1,2,phase,100001
ds004505,1,2,0,none,0
ds004505,1,2,0,phase,100001
ds004505,1,2,1,none,0
ds004505,1,2,1,phase,100001
ds004505,1,2,2,none,0
ds004505,1,2,2,phase,100001
ds004505,1,3,0,none,0
ds004505,1,3,0,phase,100001
ds004505,1,3,1,none,0
ds004505,1,3,1,phase,100001
ds004505,1,3,2,none,0
ds004505,1,3,2,phase,100001
ds004505,1,4,0,none,0
ds004505,1,4,0,phase,100001
ds004505,1,4,1,none,0
ds004505,1,4,1,phase,100001
ds004505,1,4,2,none,0
ds004505,1,4,2,phase,100001
ds004505,1,5,0,none,0
ds004505,1,5,0,phase,100001
ds004505,1,5,1,none,0
ds004505,1,5,1,phase,100001
ds004505,1,5,2,none,0
ds004505,1,5,2,phase,100001
ds004505,1,6,0,none,0
ds004505,1,6,0,phase,100001
ds004505,1,6,1,none,0
ds004505,1,6,1,phase,100001
ds004505,1,6,2,none,0
ds004505,1,6,2,phase,100001
ds004505,1,7,0,none,0
ds004505,1,7,0,phase,100001
ds004505,1,7,1,none,0
ds004505,1,7,1,phase,100001
ds004505,1,7,2,none,0
ds004505,1,7,2,phase,100001
ds004505,1,8,0,none,0
ds004505,1,8,0,phase,100001
ds004505,1,8,1,none,0
ds004505,1,8,1,phase,100001
ds004505,1,8,2,none,0
ds004505,1,8,2,phase,100001
ds004505,1,9,0,none,0
ds004505,1,9,0,phase,100001
ds004505,1,9,1,none,0
ds004505,1,9,1,phase,100001
ds004505,1,9,2,none,0
ds004505,1,9,2,phase,100001
ds004505,1,10,0,none,0
ds004505,1,10,0,phase,100001
ds004505,1,10,1,none,0
ds004505,1,10,1,phase,100001
ds004505,1,10,2,none,0
ds004505,1,10,2,phase,100001
ds004505,2,1,0,none,0
ds004505,2,1,0,phase,100002
ds004505,2,1,1,none,0
ds004505,2,1,1,phase,100002
ds004505,2,1,2,none,0
ds004505,2,1,2,phase,100002
ds004505,2,2,0,none,0
ds004505,2,2,0,phase,100002
ds004505,2,2,1,none,0
ds004505,2,2,1,phase,100002
ds004505,2,2,2,none,0
ds004505,2,2,2,phase,100002
ds004505,2,3,0,none,0
ds004505,2,3,0,phase,100002
ds004505,2,3,1,none,0
ds004505,2,3,1,phase,100002
ds004505,2,3,2,none,0
ds004505,2,3,2,phase,100002
ds004505,2,4,0,none,0
ds004505,2,4,0,phase,100002
ds004505,2,4,1,none,0
ds004505,2,4,1,phase,100002
ds004505,2,4,2,none,0
ds004505,2,4,2,phase,100002
ds004505,2,5,0,none,0
ds004505,2,5,0,phase,100002
ds004505,2,5,1,none,0
ds004505,2,5,1,phase,100002
ds004505,2,5,2,none,0
ds004505,2,5,2,phase,100002
ds004505,2,6,0,none,0
ds004505,2,6,0,phase,100002
ds004505,2,6,1,none,0
ds004505,2,6,1,phase,100002
ds004505,2,6,2,none,0
ds004505,2,6,2,phase,100002
ds004505,2,7,0,none,0
ds004505,2,7,0,phase,100002
ds004505,2,7,1,none,0
ds004505,2,7,1,phase,100002
ds004505,2,7,2,none,0
ds004505,2,7,2,phase,100002
ds004505,2,8,0,none,0
ds004505,2,8,0,phase,100002
ds004505,2,8,1,none,0
ds004505,2,8,1,phase,100002
ds004505,2,8,2,none,0
ds004505,2,8,2,phase,100002
ds004505,2,9,0,none,0
ds004505,2,9,0,phase,100002
ds004505,2,9,1,none,0
ds004505,2,9,1,phase,100002
ds004505,2,9,2,none,0
ds004505,2,9,2,phase,100002
ds004505,2,10,0,none,0
ds004505,2,10,0,phase,100002
ds004505,2,10,1,none,0
ds004505,2,10,1,phase,100002
ds004505,2,10,2,none,0
ds004505,2,10,2,phase,100002
ds004505,3,1,0,none,0
ds004505,3,1,0,phase,100003
ds004505,3,1,1,none,0
ds004505,3,1,1,phase,100003
ds004505,3,1,2,none,0
ds004505,3,1,2,phase,100003
ds004505,3,2,0,none,0
ds004505,3,2,0,phase,100003
ds004505,3,2,1,none,0
ds004505,3,2,1,phase,100003
ds004505,3,2,2,none,0
ds004505,3,2,2,phase,100003
ds004505,3,3,0,none,0
ds004505,3,3,0,phase,100003
ds004505,3,3,1,none,0
ds004505,3,3,1,phase,100003
ds004505,3,3,2,none,0
ds004505,3,3,2,phase,100003
ds004505,3,4,0,none,0
ds004505,3,4,0,phase,100003
ds004505,3,4,1,none,0
ds004505,3,4,1,phase,100003
ds004505,3,4,2,none,0
ds004505,3,4,2,phase,100003
ds004505,3,5,0,none,0
ds004505,3,5,0,phase,100003
ds004505,3,5,1,none,0
ds004505,3,5,1,phase,100003
ds004505,3,5,2,none,0
ds004505,3,5,2,phase,100003
ds004505,3,6,0,none,0
ds004505,3,6,0,phase,100003
ds004505,3,6,1,none,0
ds004505,3,6,1,phase,100003
ds004505,3,6,2,none,0
ds004505,3,6,2,phase,100003
ds004505,3,7,0,none,0
ds004505,3,7,0,phase,100003
ds004505,3,7,1,none,0
ds004505,3,7,1,phase,100003
ds004505,3,7,2,none,0
ds004505,3,7,2,phase,100003
ds004505,3,8,0,none,0
ds004505,3,8,0,phase,100003
ds004505,3,8,1,none,0
ds004505,3,8,1,phase,100003
ds004505,3,8,2,none,0
ds004505,3,8,2,phase,100003
ds004505,3,9,0,none,0
ds004505,3,9,0,phase,100003
ds004505,3,9,1,none,0
ds004505,3,9,1,phase,100003
ds004505,3,9,2,none,0
ds004505,3,9,2,phase,100003
ds004505,3,10,0,none,0
ds004505,3,10,0,phase,100003
ds004505,3,10,1,none,0
ds004505,3,10,1,phase,100003
ds004505,3,10,2,none,0
ds004505,3,10,2,phase,100003
ds004505,4,1,0,none,0
ds004505,4,1,0,phase,100004
ds004505,4,1,1,none,0
ds004505,4,1,1,phase,100004
ds004505,4,1,2,none,0
ds004505,4,1,2,phase,100004
ds004505,4,2,0,none,0
ds004505,4,2,0,phase,100004
ds004505,4,2,1,none,0
ds004505,4,2,1,phase,100004
ds004505,4,2,2,none,0
ds004505,4,2,2,phase,100004
ds004505,4,3,0,none,0
ds004505,4,3,0,phase,100004
ds004505,4,3,1,none,0
ds004505,4,3,1,phase,100004
ds004505,4,3,2,none,0
ds004505,4,3,2,phase,100004
ds004505,4,4,0,none,0
ds004505,4,4,0,phase,100004
ds004505,4,4,1,none,0
ds004505,4,4,1,phase,100004
ds004505,4,4,2,none,0
ds004505,4,4,2,phase,100004
ds004505,4,5,0,none,0
ds004505,4,5,0,phase,100004
ds004505,4,5,1,none,0
ds004505,4,5,1,phase,100004
ds004505,4,5,2,none,0
ds004505,4,5,2,phase,100004
ds004505,4,6,0,none,0
ds004505,4,6,0,phase,100004
ds004505,4,6,1,none,0
ds004505,4,6,1,phase,100004
ds004505,4,6,2,none,0
ds004505,4,6,2,phase,100004
ds004505,4,7,0,none,0
ds004505,4,7,0,phase,100004
ds004505,4,7,1,none,0
ds004505,4,7,1,phase,100004
ds004505,4,7,2,none,0
ds004505,4,7,2,phase,100004
ds004505,4,8,0,none,0
ds004505,4,8,0,phase,100004
ds004505,4,8,1,none,0
ds004505,4,8,1,phase,100004
ds004505,4,8,2,none,0
ds004505,4,8,2,phase,100004
ds004505,4,9,0,none,0
ds004505,4,9,0,phase,100004
ds004505,4,9,1,none,0
ds004505,4,9,1,phase,100004
ds004505,4,9,2,none,0
ds004505,4,9,2,phase,100004
ds004505,4,10,0,none,0
ds004505,4,10,0,phase,100004
ds004505,4,10,1,none,0
ds004505,4,10,1,phase,100004
ds004505,4,10,2,none,0
ds004505,4,10,2,phase,100004
ds004505,5,1,0,none,0
ds004505,5,1,0,phase,100005
ds004505,5,1,1,none,0
ds004505,5,1,1,phase,100005
ds004505,5,1,2,none,0
ds004505,5,1,2,phase,100005
ds004505,5,2,0,none,0
ds004505,5,2,0,phase,100005
ds004505,5,2,1,none,0
ds004505,5,2,1,phase,100005
ds004505,5,2,2,none,0
ds004505,5,2,2,phase,100005
ds004505,5,3,0,none,0
ds004505,5,3,0,phase,100005
ds004505,5,3,1,none,0
ds004505,5,3,1,phase,100005
ds004505,5,3,2,none,0
ds004505,5,3,2,phase,100005
ds004505,5,4,0,none,0
ds004505,5,4,0,phase,100005
ds004505,5,4,1,none,0
ds004505,5,4,1,phase,100005
ds004505,5,4,2,none,0
ds004505,5,4,2,phase,100005
ds004505,5,5,0,none,0
ds004505,5,5,0,phase,100005
ds004505,5,5,1,none,0
ds004505,5,5,1,phase,100005
ds004505,5,5,2,none,0
ds004505,5,5,2,phase,100005
ds004505,5,6,0,none,0
ds004505,5,6,0,phase,100005
ds004505,5,6,1,none,0
ds004505,5,6,1,phase,100005
ds004505,5,6,2,none,0
ds004505,5,6,2,phase,100005
ds004505,5,7,0,none,0
ds004505,5,7,0,phase,100005
ds004505,5,7,1,none,0
ds004505,5,7,1,phase,100005
ds004505,5,7,2,none,0
ds004505,5,7,2,phase,100005
ds004505,5,8,0,none,0
ds004505,5,8,0,phase,100005
ds004505,5,8,1,none,0
ds004505,5,8,1,phase,100005
ds004505,5,8,2,none,0
ds004505,5,8,2,phase,100005
ds004505,5,9,0,none,0
ds004505,5,9,0,phase,100005
ds004505,5,9,1,none,0
ds004505,5,9,1,phase,100005
ds004505,5,9,2,none,0
ds004505,5,9,2,phase,100005
ds004505,5,10,0,none,0
ds004505,5,10,0,phase,100005
ds004505,5,10,1,none,0
ds004505,5,10,1,phase,100005
ds004505,5,10,2,none,0
ds004505,5,10,2,phase,100005
ds004505,6,1,0,none,0
ds004505,6,1,0,phase,100006
ds004505,6,1,1,none,0
ds004505,6,1,1,phase,100006
ds004505,6,1,2,none,0
ds004505,6,1,2,phase,100006
ds004505,6,2,0,none,0
ds004505,6,2,0,phase,100006
ds004505,6,2,1,none,0
ds004505,6,2,1,phase,100006
ds004505,6,2,2,none,0
ds004505,6,2,2,phase,100006
ds004505,6,3,0,none,0
ds004505,6,3,0,phase,100006
ds004505,6,3,1,none,0
ds004505,6,3,1,phase,100006
ds004505,6,3,2,none,0
ds004505,6,3,2,phase,100006
ds004505,6,4,0,none,0
