dataset,subject,num_models,fit_seed,surrogate,surrogate_seed
ds004505,1,1,0,none,0
ds004505,1,1,0,phase,100001
ds004505,1,1,1,none,0
ds004505,1,1,1,phase,100001
ds004505,1,1,2,none,0
ds004505,1,1,2,phase,100001
ds004505,1,2,0,none,0
ds004505,1,2,0,phase,100001
ds004505,1,2,1,none,0
ds004505,1,2,1,phase,100001
ds004505,1,2,2,none,0
ds004505,1,2,2,phase,100001
ds004505,1,3,0,none,0
ds004505,1,3,0,phase,100001
ds004505,1,3,1,none,0
ds004505,1,3,1,phase,100001
ds004505,1,3,2,none,0
ds004505,1,3,2,phase,100001
ds004505,1,5,0,none,0
ds004505,1,5,0,phase,100001
ds004505,1,5,1,none,0
ds004505,1,5,1,phase,100001
ds004505,1,5,2,none,0
ds004505,1,5,2,phase,100001
ds004505,1,10,0,none,0
ds004505,1,10,0,phase,100001
ds004505,1,10,1,none,0
ds004505,1,10,1,phase,100001
ds004505,1,10,2,none,0
ds004505,1,10,2,phase,100001
ds004505,2,1,0,none,0
ds004505,2,1,0,phase,100002
ds004505,2,1,1,none,0
ds004505,2,1,1,phase,100002
ds004505,2,1,2,none,0
ds004505,2,1,2,phase,100002
ds004505,2,2,0,none,0
ds004505,2,2,0,phase,100002
ds004505,2,2,1,none,0
ds004505,2,2,1,phase,100002
ds004505,2,2,2,none,0
ds004505,2,2,2,phase,100002
ds004505,2,3,0,none,0
ds004505,2,3,0,phase,100002
ds004505,2,3,1,none,0
ds004505,2,3,1,phase,100002
ds004505,2,3,2,none,0
ds004505,2,3,2,phase,100002
ds004505,2,5,0,none,0
ds004505,2,5,0,phase,100002
ds004505,2,5,1,none,0
ds004505,2,5,1,phase,100002
ds004505,2,5,2,none,0
ds004505,2,5,2,phase,100002
ds004505,2,10,0,none,0
ds004505,2,10,0,phase,100002
ds004505,2,10,1,none,0
ds004505,2,10,1,phase,100002
ds004505,2,10,2,none,0
ds004505,2,10,2,phase,100002
ds004505,3,1,0,none,0
ds004505,3,1,0,phase,100003
ds004505,3,1,1,none,0
ds004505,3,1,1,phase,100003
ds004505,3,1,2,none,0
ds004505,3,1,2,phase,100003
ds004505,3,2,0,none,0
ds004505,3,2,0,phase,100003
ds004505,3,2,1,none,0
ds004505,3,2,1,phase,100003
ds004505,3,2,2,none,0
ds004505,3,2,2,phase,100003
ds004505,3,3,0,none,0
ds004505,3,3,0,phase,100003
ds004505,3,3,1,none,0
ds004505,3,3,1,phase,100003
ds004505,3,3,2,none,0
ds004505,3,3,2,phase,100003
ds004505,3,5,0,none,0
ds004505,3,5,0,phase,100003
ds004505,3,5,1,none,0
ds004505,3,5,1,phase,100003
ds004505,3,5,2,none,0
ds004505,3,5,2,phase,100003
ds004505,3,10,0,none,0
ds004505,3,10,0,phase,100003
ds004505,3,10,1,none,0
ds004505,3,10,1,phase,100003
ds004505,3,10,2,none,0
ds004505,3,10,2,phase,100003
ds004504,37,1,0,none,0
ds004504,37,1,0,phase,100037
ds004504,37,1,1,none,0
ds004504,37,1,1,phase,100037
ds004504,37,1,2,none,0
ds004504,37,1,2,phase,100037
ds004504,37,2,0,none,0
ds004504,37,2,0,phase,100037
ds004504,37,2,1,none,0
ds004504,37,2,1,phase,100037
ds004504,37,2,2,none,0
ds004504,37,2,2,phase,100037
ds004504,37,3,0,none,0
ds004504,37,3,0,phase,100037
ds004504,37,3,1,none,0
ds004504,37,3,1,phase,100037
ds004504,37,3,2,none,0
ds004504,37,3,2,phase,100037
ds004504,37,5,0,none,0
ds004504,37,5,0,phase,100037
ds004504,37,5,1,none,0
ds004504,37,5,1,phase,100037
ds004504,37,5,2,none,0
ds004504,37,5,2,phase,100037
ds004504,37,10,0,none,0
ds004504,37,10,0,phase,100037
ds004504,37,10,1,none,0
ds004504,37,10,1,phase,100037
ds004504,37,10,2,none,0
ds004504,37,10,2,phase,100037
ds004504,38,1,0,none,0
ds004504,38,1,0,phase,100038
ds004504,38,1,1,none,0
ds004504,38,1,1,phase,100038
ds004504,38,1,2,none,0
ds004504,38,1,2,phase,100038
ds004504,38,2,0,none,0
ds004504,38,2,0,phase,100038
ds004504,38,2,1,none,0
ds004504,38,2,1,phase,100038
ds004504,38,2,2,none,0
ds004504,38,2,2,phase,100038
ds004504,38,3,0,none,0
ds004504,38,3,0,phase,100038
ds004504,38,3,1,none,0
ds004504,38,3,1,phase,100038
ds004504,38,3,2,none,0
ds004504,38,3,2,phase,100038
ds004504,38,5,0,none,0
ds004504,38,5,0,phase,100038
ds004504,38,5,1,none,0
ds004504,38,5,1,phase,100038
ds004504,38,5,2,none,0
ds004504,38,5,2,phase,100038
ds004504,38,10,0,none,0
ds004504,38,10,0,phase,100038
ds004504,38,10,1,none,0
ds004504,38,10,1,phase,100038
ds004504,38,10,2,none,0
ds004504,38,10,2,phase,100038
ds004504,39,1,0,none,0
ds004504,39,1,0,phase,100039
ds004504,39,1,1,none,0
ds004504,39,1,1,phase,100039
ds004504,39,1,2,none,0
ds004504,39,1,2,phase,100039
ds004504,39,2,0,none,0
ds004504,39,2,0,phase,100039
ds004504,39,2,1,none,0
ds004504,39,2,1,phase,100039
ds004504,39,2,2,none,0
ds004504,39,2,2,phase,100039
ds004504,39,3,0,none,0
ds004504,39,3,0,phase,100039
ds004504,39,3,1,none,0
ds004504,39,3,1,phase,100039
ds004504,39,3,2,none,0
ds004504,39,3,2,phase,100039
ds004504,39,5,0,none,0
ds004504,39,5,0,phase,100039
ds004504,39,5,1,none,0
ds004504,39,5,1,phase,100039
ds004504,39,5,2,none,0
ds004504,39,5,2,phase,100039
ds004504,39,10,0,none,0
ds004504,39,10,0,phase,100039
ds004504,39,10,1,none,0
ds004504,39,10,1,phase,100039
ds004504,39,10,2,none,0
ds004504,39,10,2,phase,100039
ds004621,1,1,0,none,0
ds004621,1,1,0,phase,100001
ds004621,1,1,1,none,0
ds004621,1,1,1,phase,100001
ds004621,1,1,2,none,0
ds004621,1,1,2,phase,100001
ds004621,1,2,0,none,0
ds004621,1,2,0,phase,100001
ds004621,1,2,1,none,0
ds004621,1,2,1,phase,100001
ds004621,1,2,2,none,0
ds004621,1,2,2,phase,100001
ds004621,1,3,0,none,0
ds004621,1,3,0,phase,100001
ds004621,1,3,1,none,0
ds004621,1,3,1,phase,100001
ds004621,1,3,2,none,0
ds004621,1,3,2,phase,100001
ds004621,1,5,0,none,0
ds004621,1,5,0,phase,100001
ds004621,1,5,1,none,0
ds004621,1,5,1,phase,100001
ds004621,1,5,2,none,0
ds004621,1,5,2,phase,100001
ds004621,1,10,0,none,0
ds004621,1,10,0,phase,100001
ds004621,1,10,1,none,0
ds004621,1,10,1,phase,100001
ds004621,1,10,2,none,0
ds004621,1,10,2,phase,100001
ds004621,2,1,0,none,0
ds004621,2,1,0,phase,100002
ds004621,2,1,1,none,0
ds004621,2,1,1,phase,100002
ds004621,2,1,2,none,0
ds004621,2,1,2,phase,100002
ds004621,2,2,0,none,0
ds004621,2,2,0,phase,100002
ds004621,2,2,1,none,0
ds004621,2,2,1,phase,100002
ds004621,2,2,2,none,0
ds004621,2,2,2,phase,100002
ds004621,2,3,0,none,0
ds004621,2,3,0,phase,100002
ds004621,2,3,1,none,0
ds004621,2,3,1,phase,100002
ds004621,2,3,2,none,0
ds004621,2,3,2,phase,100002
ds004621,2,5,0,none,0
ds004621,2,5,0,phase,100002
ds004621,2,5,1,none,0
ds004621,2,5,1,phase,100002
ds004621,2,5,2,none,0
ds004621,2,5,2,phase,100002
ds004621,2,10,0,none,0
ds004621,2,10,0,phase,100002
ds004621,2,10,1,none,0
ds004621,2,10,1,phase,100002
ds004621,2,10,2,none,0
ds004621,2,10,2,phase,100002
ds004621,3,1,0,none,0
ds004621,3,1,0,phase,100003
ds004621,3,1,1,none,0
ds004621,3,1,1,phase,100003
ds004621,3,1,2,none,0
ds004621,3,1,2,phase,100003
ds004621,3,2,0,none,0
ds004621,3,2,0,phase,100003
ds004621,3,2,1,none,0
ds004621,3,2,1,phase,100003
ds004621,3,2,2,none,0
ds004621,3,2,2,phase,100003
ds004621,3,3,0,none,0
ds004621,3,3,0,phase,100003
ds004621,3,3,1,none,0
ds004621,3,3,1,phase,100003
ds004621,3,3,2,none,0
ds004621,3,3,2,phase,100003
ds004621,3,5,0,none,0
ds004621,3,5,0,phase,100003
ds004621,3,5,1,none,0
ds004621,3,5,1,phase,100003
ds004621,3,5,2,none,0
ds004621,3,5,2,phase,100003
ds004621,3,10,0,none,0
ds004621,3,10,0,phase,100003
ds004621,3,10,1,none,0
ds004621,3,10,1,phase,100003
ds004621,3,10,2,none,0
ds004621,3,10,2,phase,100003
