subject,jax_gpu_vs_jax_cpu,jax_gpu_vs_numpy_cpu,jax_cpu_vs_numpy_cpu
sub-01,0.789562277,0.961926310,0.926952549
sub-02,0.999956605,0.999987786,0.999921851
sub-03,0.999963799,0.999963576,1.000000000
sub-04,0.999849806,0.999800159,0.999907446
sub-05,0.999745046,0.999657997,0.999776951
sub-06,0.999836006,0.999871394,0.999940513
sub-07,0.999980754,0.999092781,0.999092447
sub-08,0.999834879,0.998540949,0.998743103
sub-09,0.999944084,0.999963966,0.999943147
sub-10,0.999911044,0.999962464,0.999931101
sub-11,0.999934633,0.999881618,0.999872104
sub-12,0.999820025,0.999294128,0.999790784
sub-13,0.999931734,0.999760057,0.999763236
sub-14,0.999935331,0.999864020,0.999985145
sub-15,0.999974890,0.999978163,0.999982136
sub-16,0.999947638,0.998633431,0.998661633
sub-17,0.999447694,0.999792019,0.999560844
sub-18,0.999711964,0.998271499,0.996602572
sub-19,0.999915025,0.999943680,0.999993446
sub-20,0.656125305,0.655999517,0.985552237
sub-21,0.999980312,0.999989192,0.999985794
sub-22,0.999911171,0.999901203,0.999899662
sub-23,0.999882804,0.999743922,0.999943579
sub-24,0.999956075,0.999996806,0.999957770
sub-25,0.999929275,0.999931052,0.999991508
