method,display_name,planted_source_index,estimated_component_index,signed_r,abs_r,sign_flip,source_vertex,source_hemi,source_label,selection_score,selected_for_panel_d
amica_3000,"AMICA 3,000",0,17,-0.9835808862017206,0.9835808862017206,True,66297,rh,insula-rh,,False
amica_3000,"AMICA 3,000",1,31,-0.9895667732509872,0.9895667732509872,True,68980,rh,transversetemporal-rh,,False
amica_3000,"AMICA 3,000",2,6,-0.8850083077199731,0.8850083077199731,True,1492,rh,lateraloccipital-rh,,False
amica_3000,"AMICA 3,000",3,28,-0.7023418746528944,0.7023418746528944,True,106880,lh,entorhinal-lh,,False
amica_3000,"AMICA 3,000",4,24,-0.8066077138678813,0.8066077138678813,True,48795,lh,posteriorcingulate-lh,,False
amica_3000,"AMICA 3,000",5,7,0.9421840402690494,0.9421840402690494,False,53054,rh,posteriorcingulate-rh,,False
amica_3000,"AMICA 3,000",6,11,0.7785982611409934,0.7785982611409934,False,29946,lh,supramarginal-lh,,False
amica_3000,"AMICA 3,000",7,23,-0.8071757978426694,0.8071757978426694,True,79918,lh,caudalmiddlefrontal-lh,,False
amica_3000,"AMICA 3,000",8,21,0.7350131030427183,0.7350131030427183,False,2281,rh,pericalcarine-rh,,False
amica_3000,"AMICA 3,000",9,12,-0.7465738746702443,0.7465738746702443,True,841,lh,superiorparietal-lh,,False
amica_3000,"AMICA 3,000",10,5,-0.9790837842614719,0.9790837842614719,True,30467,lh,middletemporal-lh,,False
amica_3000,"AMICA 3,000",11,13,0.7944978692074562,0.7944978692074562,False,152907,lh,frontalpole-lh,,False
amica_3000,"AMICA 3,000",12,29,0.8765760444984527,0.8765760444984527,False,36823,lh,inferiortemporal-lh,,False
amica_3000,"AMICA 3,000",13,2,0.8177463685916128,0.8177463685916128,False,95728,lh,caudalanteriorcingulate-lh,,False
amica_3000,"AMICA 3,000",14,15,-0.8393219354687035,0.8393219354687035,True,19789,lh,postcentral-lh,,False
amica_3000,"AMICA 3,000",15,9,0.6717280215199559,0.6717280215199559,False,107405,lh,parsopercularis-lh,,False
amica_3000,"AMICA 3,000",16,19,-0.8097854871734463,0.8097854871734463,True,38908,lh,isthmuscingulate-lh,,False
amica_3000,"AMICA 3,000",17,25,0.9046988078577124,0.9046988078577124,False,4773,rh,precuneus-rh,,False
amica_3000,"AMICA 3,000",18,0,-0.9022542812146599,0.9022542812146599,True,154179,rh,frontalpole-rh,0.9820881081865381,True
amica_3000,"AMICA 3,000",19,22,0.9789897018396234,0.9789897018396234,False,121283,lh,temporalpole-lh,0.9789897018396234,True
amica_3000,"AMICA 3,000",20,4,-0.9895968309972785,0.9895968309972785,True,105454,rh,rostralmiddlefrontal-rh,,False
amica_3000,"AMICA 3,000",21,26,0.6896770902258932,0.6896770902258932,False,66616,rh,parahippocampal-rh,,False
amica_3000,"AMICA 3,000",22,14,0.752361344282233,0.752361344282233,False,64096,lh,insula-lh,,False
